"","cap.diameter","cap.shape","gill.attachment","gill.color","stem.height","stem.width","stem.color","season","class"
"1",1372,"2","2","10",3.80746675447994,1545,"11",1.80427270862817,1
"4",1261,"6","2","10",3.78757180959258,1566,"11",1.80427270862817,1
"5",1305,"6","2","10",3.71197101902061,1464,"11",0.943194553897495,1
"6",1337,"6","2","10",3.77563484266016,1520,"11",0.943194553897495,1
"7",1300,"2","2","10",3.83531967732224,1563,"11",1.80427270862817,1
"9",1222,"6","2","10",3.77165585368269,1476,"11",0.943194553897495,1
"11",1214,"6","2","10",3.69605506311072,1524,"11",1.80427270862817,1
"12",642,"6","2","10",0.286061509417153,1311,"11",0.943194553897495,1
"14",550,"4","2","10",0.54867478193031,1220,"11",0.888450287786284,1
"15",606,"6","2","10",0.254229597597377,1239,"11",0.943194553897495,1
"16",721,"6","2","10",0.95055266865499,1445,"11",0.943194553897495,1
"17",595,"6","2","10",0.604380627614919,1415,"11",0.888450287786284,1
"19",587,"6","2","10",0.596422649659975,1531,"11",0.943194553897495,1
"20",835,"6","2","10",0.906783789902797,1603,"11",0.888450287786284,1
"21",705,"4","2","10",0.0831330715660776,1122,"11",0.888450287786284,1
"22",599,"4","2","10",0.576527704772615,1306,"11",0.888450287786284,1
"23",619,"4","2","10",0.389515222831427,1195,"11",0.943194553897495,1
"25",778,"6","2","10",0.811288054443467,1514,"11",0.943194553897495,1
"26",692,"6","2","10",0.652128495344584,1307,"11",0.943194553897495,1
"28",660,"6","2","10",0.982384580474766,1626,"11",0.943194553897495,1
"29",547,"6","2","10",0.520821859088006,1191,"11",0.888450287786284,1
"30",846,"6","2","10",1.17337605139343,1613,"11",0.888450287786284,1
"31",826,"6","2","10",1.05002739309179,1593,"11",0.888450287786284,1
"32",834,"6","2","10",1.01421649229454,1591,"11",0.888450287786284,1
"33",664,"4","2","10",0.719771307961609,1140,"11",0.943194553897495,1
"35",718,"6","2","10",0.719771307961609,1291,"11",0.888450287786284,1
"36",594,"6","2","10",0.743645241826442,1333,"11",0.888450287786284,1
"37",641,"6","2","10",0.747624230803914,1577,"11",0.888450287786284,1
"38",840,"4","2","10",0.962489635587406,1465,"11",0.943194553897495,1
"39",728,"4","2","10",1.16541807343848,1577,"11",0.943194553897495,1
"42",613,"6","2","10",0.660086473299528,1352,"11",0.888450287786284,1
"44",510,"6","2","10",0.409410167718788,1172,"11",0.943194553897495,1
"45",618,"6","2","10",0.711813330006665,1510,"11",0.943194553897495,1
"46",638,"6","2","10",0.652128495344584,1635,"11",0.888450287786284,1
"47",585,"4","2","10",0.676002429209417,1332,"11",0.943194553897495,1
"48",837,"6","2","10",0.668044451254472,1323,"11",0.888450287786284,1
"50",805,"6","2","10",0.210460718845184,1330,"11",0.943194553897495,1
"51",762,"6","2","10",0.723750296939081,1484,"11",0.888450287786284,1
"52",640,"6","2","10",0.664065462277,1250,"11",0.888450287786284,1
"53",699,"4","2","10",0.962489635587406,1506,"11",0.943194553897495,1
"54",674,"6","2","10",0.429305112606148,1667,"11",0.943194553897495,1
"55",662,"6","2","10",1.05798537104674,1755,"11",0.943194553897495,1
"56",736,"6","2","10",0.779456142623691,1404,"11",0.943194553897495,1
"57",563,"6","2","10",0.616317594547335,1419,"11",0.943194553897495,1
"59",705,"4","2","10",1.08185930491157,1534,"11",0.888450287786284,1
"60",802,"6","2","10",1.2489768419654,1578,"11",0.888450287786284,1
"61",591,"6","2","10",0.0601105316229171,1166,"11",0.943194553897495,1
"62",708,"4","2","10",0.851077944218188,1533,"11",0.888450287786284,1
"63",717,"4","2","10",0.807309065465995,1499,"11",0.888450287786284,1
"64",573,"4","2","10",0.723750296939081,1375,"11",0.888450287786284,1
"65",622,"4","2","10",1.16939706241595,1482,"11",0.943194553897495,1
"66",516,"6","2","10",0.425326123628676,995,"11",0.943194553897495,1
"67",763,"6","2","10",0.679981418186889,1396,"11",0.943194553897495,1
"68",592,"4","2","10",0.99034255842971,1615,"11",0.888450287786284,1
"69",580,"4","2","10",0.329830388169346,1368,"11",0.888450287786284,1
"70",635,"6","2","10",0.429305112606148,1241,"11",0.943194553897495,1
"71",626,"6","2","10",0.369620277944067,1443,"11",0.943194553897495,1
"72",793,"6","2","10",0.795372098533579,1485,"11",0.943194553897495,1
"73",607,"6","2","10",0.449200057493508,1190,"11",0.888450287786284,1
"75",758,"6","2","10",0.660086473299528,1336,"11",0.888450287786284,1
"76",780,"6","2","10",0.353704322034179,1405,"11",0.943194553897495,1
"78",752,"4","2","10",0.731708274894026,1273,"11",0.888450287786284,1
"79",700,"6","2","10",0.954531657632462,1414,"11",0.888450287786284,1
"81",693,"4","2","10",0.863014911150604,1245,"11",0.943194553897495,1
"82",657,"4","2","10",0.632233550457224,1477,"11",0.943194553897495,1
"83",645,"4","2","10",0.516842870110534,1301,"11",0.888450287786284,1
"86",738,"6","2","10",0.699876363074249,1549,"11",0.888450287786284,1
"87",566,"6","2","10",0.544695792952838,1353,"11",0.943194553897495,1
"88",736,"4","2","10",0.652128495344584,1417,"11",0.888450287786284,1
"89",614,"6","2","10",0.843119966263244,1468,"11",0.888450287786284,1
"90",614,"6","2","10",0.962489635587406,1156,"11",0.888450287786284,1
"91",821,"4","2","10",1.0778803159341,1632,"11",0.888450287786284,1
"92",745,"6","2","10",0.958510646609934,1749,"11",0.888450287786284,1
"93",624,"6","2","10",0.492968936245701,1372,"11",0.888450287786284,1
"94",713,"6","2","10",1.08583829388904,1523,"11",0.943194553897495,1
"95",677,"4","2","10",0.894846822970381,1534,"11",0.888450287786284,1
"96",692,"6","2","10",0.421347134651204,1413,"11",0.888450287786284,1
"97",731,"6","2","10",0.481031969313285,1319,"11",0.943194553897495,1
"98",639,"4","2","10",0.616317594547335,1509,"11",0.943194553897495,1
"99",725,"4","2","10",1.36834651128956,1747,"11",0.943194553897495,1
"100",869,"4","2","10",1.18133402934837,1828,"11",0.888450287786284,1
"101",749,"4","2","10",1.22510290810056,1537,"11",0.943194553897495,1
"102",592,"6","2","10",0.485010958290757,1273,"11",0.888450287786284,1
"103",680,"6","2","10",0.946573679677518,1489,"11",0.943194553897495,1
"105",673,"6","2","10",0.54867478193031,1544,"11",0.888450287786284,1
"106",505,"4","2","10",0.0473221707688289,1046,"11",0.943194553897495,1
"107",655,"4","2","10",0.421347134651204,1156,"11",0.888450287786284,1
"109",809,"4","2","10",0.469095002380869,1220,"11",0.888450287786284,1
"110",773,"4","2","10",0.807309065465995,1373,"11",0.888450287786284,1
"112",698,"6","2","10",0.831182999330828,1436,"11",0.943194553897495,1
"113",714,"4","2","10",0.676002429209417,1211,"11",0.943194553897495,1
"114",707,"4","2","10",0.982384580474766,1768,"11",0.943194553897495,1
"115",765,"4","2","10",0.75956119773633,1314,"11",0.888450287786284,1
"117",646,"6","2","10",0.795372098533579,1557,"11",0.888450287786284,1
"118",755,"6","2","10",0.564590737840199,1534,"11",0.943194553897495,1
"119",803,"4","2","10",1.03013244820443,1582,"11",0.888450287786284,1
"121",727,"4","2","10",1.12164919468629,1659,"11",0.888450287786284,1
"122",584,"4","2","10",0.556632759885254,1316,"11",0.888450287786284,1
"123",679,"6","2","10",0.954531657632462,1430,"11",0.888450287786284,1
"124",775,"4","2","10",0.930657723767629,1578,"11",0.943194553897495,1
"125",814,"4","2","10",0.544695792952838,1552,"11",0.943194553897495,1
"126",698,"4","2","10",0.87495187808302,1570,"11",0.888450287786284,1
"129",816,"4","2","10",0.910762778880269,1519,"11",0.888450287786284,1
"130",672,"6","2","10",0.492968936245701,1470,"11",0.888450287786284,1
"131",663,"6","2","10",0.668044451254472,1404,"11",0.888450287786284,1
"132",612,"6","2","10",0.668044451254472,1322,"11",0.943194553897495,1
"133",725,"6","2","10",0.592443660682503,1437,"11",0.888450287786284,1
"134",676,"6","2","10",0.779456142623691,1358,"11",0.943194553897495,1
"135",738,"4","2","10",1.06594334900168,1535,"11",0.888450287786284,1
